# Higgs Field Simulation Metrics
# step total_energy max_field min_field
0 1.521670e13 4.962200e2 2.462200e2
100 1.521670e13 4.962200e2 2.462200e2
200 1.521670e13 4.962200e2 2.462200e2
300 1.521670e13 4.962200e2 2.462200e2
400 1.521670e13 4.962200e2 2.462200e2
500 1.521670e13 4.962200e2 2.462200e2
600 1.521670e13 4.962200e2 2.462200e2
700 1.521670e13 4.962200e2 2.462200e2
800 1.521670e13 4.962200e2 2.462200e2
900 1.521670e13 4.962200e2 2.462200e2
